mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,,,,Sex,Age
-1.24E-05,0.288675135,0.499975276,-0.5,-1.24E-05,-1.46E-17,-1.200000001,-0.250006181,0.249981457,-0.5,0.499987638,,,,Female,21
-1.36E-05,0.288675134,0.499972814,-0.5,-1.36E-05,4.24E-17,-1.200000002,-0.250006796,0.249979611,-0.5,0.499986407,,,,Male,24
-9.66E-06,0.288675135,0.499980685,-0.5,-9.66E-06,-1.25E-17,-1.200000001,-0.250004829,0.249985513,-0.5,0.499990342,,,,Female,18
-1.37E-05,0.288675134,0.499972521,-0.5,-1.37E-05,-2.76E-16,-1.200000002,-0.25000687,0.249979391,-0.5,0.499986261,,,,Female,18
5.48E-19,0.288675135,0.499990358,-0.499990358,0,-4.46E-17,-1.200000001,-0.249995179,0.249995179,-0.499990358,0.499990358,,,,Female,18
-3.20E-18,0.288675134,0.499985918,-0.499985918,0,-6.08E-17,-1.200000002,-0.249992959,0.249992959,-0.499985918,0.499985918,,,,Female,18
0,0.288675134,0.499984058,-0.499984058,0,4.71E-18,-1.200000002,-0.249992029,0.249992029,-0.499984058,0.499984058,,,,Female,18
-8.07E-06,0.288675135,0.499983864,-0.5,-8.07E-06,-3.07E-16,-1.200000001,-0.250004034,0.249987898,-0.5,0.499991932,,,,Female,18
-1.42E-17,0.288675135,0.499988068,-0.499988068,0,4.29E-17,-1.200000001,-0.249994034,0.249994034,-0.499988068,0.499988068,,,,Male,19
-1.31E-05,0.288675134,0.499973799,-0.5,-1.31E-05,4.26E-16,-1.200000002,-0.25000655,0.249980349,-0.5,0.499986899,,,,Female,20
-1.87E-05,0.288675134,0.49996267,-0.5,-1.87E-05,-9.48E-19,-1.200000003,-0.250009333,0.249972002,-0.5,0.499981335,,,,Female,20
-2.36E-17,0.288675134,0.499982673,-0.499982673,0,1.60E-17,-1.200000003,-0.249991337,0.249991337,-0.499982673,0.499982673,,,,Female,20
1.89E-18,0.288675134,0.499983355,-0.499983355,0,4.18E-17,-1.200000003,-0.249991677,0.249991677,-0.499983355,0.499983355,,,,Female,20
-1.63E-17,0.288675134,0.499982094,-0.499982094,0,5.22E-17,-1.200000003,-0.249991047,0.249991047,-0.499982094,0.499982094,,,,Female,20
-1.00E-17,0.288675135,0.499988625,-0.499988625,0,2.26E-18,-1.200000001,-0.249994312,0.249994312,-0.499988625,0.499988625,,,,Male,17
-1.21E-05,0.288675135,0.499975808,-0.5,-1.21E-05,-4.43E-16,-1.200000001,-0.250006048,0.249981856,-0.5,0.499987904,,,,Male,21
-6.80E-06,0.288675135,0.499986399,-0.5,-6.80E-06,3.37E-16,-1.2,-0.2500034,0.2499898,-0.5,0.4999932,,,,Male,19
-1.06E-05,0.288675135,0.499978728,-0.5,-1.06E-05,1.40E-16,-1.200000001,-0.250005318,0.249984046,-0.5,0.499989364,,,,Male,22
-1.46E-05,0.288675134,0.499970704,-0.5,-1.46E-05,1.13E-17,-1.200000002,-0.250007324,0.249978028,-0.5,0.499985352,,,,Male,18
-1.17E-05,0.288675135,0.499976622,-0.5,-1.17E-05,-1.58E-16,-1.200000001,-0.250005844,0.249982467,-0.5,0.499988311,,,,Male,23
-7.10E-18,0.288675134,0.499980788,-0.499980788,0,8.14E-18,-1.200000004,-0.249990394,0.249990394,-0.499980788,0.499980788,,,,Male,23
-1.34E-05,0.288675134,0.499973196,-0.5,-1.34E-05,-2.18E-17,-1.200000002,-0.250006701,0.249979897,-0.5,0.499986598,,,,Male,23
