mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,Sex,Age_Class
0,0.288675134,0.499982265,-0.499982265,0,-3.83E-17,-1.200000003,-0.249991133,0.249991133,-0.499982265,0.499982265,204.12921,0.08509067,1669,135.9991776,-11.967296,-433.3464,207.00291,0.24727374,1493.64627,1923.961334,3010.610962,Female,0
-1.23E-05,0.288675135,0.499975339,-0.5,-1.23E-05,-4.01E-16,-1.200000001,-0.250006165,0.249981504,-0.5,0.49998767,83.43908,0.0453617,4141,161.4990234,-10.729834,-512.1187,151.13062,0.3560363,2459.789596,2486.594289,5102.157898,Female,0
-1.63E-05,0.288675134,0.499967416,-0.5,-1.63E-05,-5.05E-17,-1.200000003,-0.250008146,0.249975562,-0.5,0.499983708,125.54611,0.063959226,3825,143.5546875,-10.265333,-535.6497,187.27063,0.32587576,2464.540344,2213.138206,4819.310303,Female,0
-1.82E-05,0.288675134,0.499963663,-0.5,-1.82E-05,-1.38E-16,-1.200000003,-0.250009084,0.249972747,-0.5,0.499981831,429.96738,0.124995254,1163,172.265625,-7.8791494,-444.51483,190.05695,0.26044604,1620.62874,2129.003081,3382.906087,Female,0
1.25E-18,0.288675135,0.499990251,-0.499990251,0,-1.07E-16,-1.200000001,-0.249995125,0.249995125,-0.499990251,0.499990251,50.816486,0.031478,2785,107.6660156,-6.794853,-526.4486,165.5202,0.46287158,2424.636673,2820.785361,5545.119605,Male,1
-1.22E-17,0.288675134,0.499986607,-0.499986607,0,3.81E-17,-1.200000002,-0.249993304,0.249993304,-0.499986607,0.499986607,285.01385,0.087374866,1935,135.9991776,-3.4109282,-474.32562,197.1662,0.49736357,1853.779488,2433.374522,4220.212837,Male,0
-1.92E-18,0.288675134,0.499984957,-0.499984957,0,-1.54E-17,-1.200000002,-0.249992479,0.249992479,-0.499984957,0.499984957,108.50198,0.057134032,1988,143.5546875,-7.8600254,-508.06406,177.81052,0.3776598,1865.600012,2124.456723,4002.194261,Female,1
-4.92E-18,0.288675134,0.499978373,-0.499978373,0,-6.39E-17,-1.200000004,-0.249989186,0.249989186,-0.499978373,0.499978373,90.70026,0.062635385,1395,143.5546875,-7.4491596,-516.2458,197.46194,0.3056073,1658.148127,1886.603931,3505.230978,Female,1
8.00E-18,0.288675134,0.499982406,-0.499982406,0,1.62E-17,-1.200000003,-0.249991203,0.249991203,-0.499982406,0.499982406,117.74187,0.064366676,3065,143.5546875,-6.0329695,-478.6207,164.63495,0.36554155,2325.622895,2375.985006,4831.512451,Female,1
1.08E-17,0.288675134,0.49998102,-0.49998102,0,3.17E-17,-1.200000003,-0.24999051,0.24999051,-0.49998102,0.49998102,269.6117,0.1011665,2480,143.5546875,-5.6465693,-444.788,186.80333,0.3560364,1981.314682,2066.197211,4071.431791,Female,1
-7.61E-18,0.288675134,0.499983255,-0.499983255,0,0,-1.200000003,-0.249991627,0.249991627,-0.499983255,0.499983255,226.2513,0.08704782,2104,143.5546875,-5.752086,-415.9932,196.0822,0.3258592,1940.622844,2204.631412,3881.451106,Female,1
-1.46E-17,0.288675135,0.499992678,-0.499992678,0,2.16E-17,-1.200000001,-0.249996339,0.249996339,-0.499992678,0.499992678,70.23631,0.03207048,5059,112.3471467,-9.657778,-499.67163,160.40747,0.45283395,2607.373692,2701.345094,5540.541373,Female,0
-9.90E-18,0.288675135,0.499989118,-0.499989118,0,6.25E-17,-1.200000001,-0.249994559,0.249994559,-0.499989118,0.499989118,18.299946,0.019956615,3715,184.5703125,-7.7740016,-434.61844,140.07227,0.42937022,2915.873521,2930.392786,6372.751465,Male,1
