mean,sd,maxv,median,skew,kurtosis,q1,q3,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonnetz,stft,mel,Sex
5512.358214,3182.725215,11024.71643,5512.358214,9.97E-16,-1.200000006,2756.179107,8268.537321,5512.358214,118.11931,0.05511849,0.059002058,143.5546875,10.768837,546.3195,201.11859,0.36582866,1719.791418,2044.015734,3653.561241,-0.011227619,0.23473594,0.71238315,Female
5512.320755,3182.643357,11024.64151,5512.320755,1.89E-16,-1.200000003,2756.160378,8268.481133,5512.320755,1090.2919,0.133138,0.066185436,117.4538352,6.072829,527.1184,185.13144,0.41826853,2144.62087,2318.036139,4569.221131,0.015947934,0.59194267,4.121845,Female
5512.389002,3182.707441,11024.778,5512.389002,1.05E-15,-1.200000004,2756.194501,8268.583503,5512.389002,1035.0061,0.14436124,0.032397713,103.359375,5.7450304,469.73068,191.18199,0.36919186,1354.081046,1957.968322,2932.69043,0.010196271,0.5873453,4.8562994,Female
5512.409228,3182.695764,11024.81846,5512.409228,2.55E-16,-1.200000003,2756.204614,8268.613842,5512.409228,127.11784,0.045751106,0.083994731,123.046875,8.964676,462.42694,181.23172,0.4034323,2657.294644,2749.405178,5704.39884,-0.008769971,0.220318,0.47554138,Male
5512.402546,3182.699622,11024.80509,5512.402546,6.17E-16,-1.200000003,2756.201273,8268.603819,5512.402546,207.05084,0.060500752,0.1047449,117.4538352,8.330164,439.89008,169.01395,0.35340413,2454.325205,2487.645481,4896.087811,-0.005681685,0.33175367,0.8201802,Male
5512.267071,3182.643356,11024.53414,5512.267071,-3.28E-16,-1.200000004,2756.133535,8268.400606,5512.267071,46.36515,0.0312978,0.108993725,123.046875,13.645885,574.28723,181.51482,0.34910122,2183.461069,1917.139979,3887.900863,-0.015847079,0.17100598,0.21771222,Female
5512.276975,3182.772112,11024.55395,5512.276975,3.14E-16,-1.200000016,2756.138488,8268.415463,5512.276975,93.77443,0.061593596,0.069868112,151.9990809,10.770572,409.3141,179.77722,0.27483204,1572.366194,1575.812757,2874.902344,-0.014934083,0.35907394,0.8472896,Male
5512.355319,3182.726886,11024.71064,5512.355319,0,-1.200000007,2756.177659,8268.532978,5512.355319,27.508028,0.02686927,0.134612356,112.3471467,11.765146,538.9442,143.43031,0.31731358,2814.199688,2396.978595,5110.69043,-0.004678844,0.19315775,0.14762232,Female
5512.284996,3182.767482,11024.56999,5512.284996,6.80E-16,-1.200000015,2756.142498,8268.427493,5512.284996,83.67445,0.057126474,0.212285491,123.046875,7.761605,434.93936,192.47089,0.33156106,3433.904665,2284.464196,5740.498621,-0.000828426,0.47578847,0.64774793,Female
5512.081181,3182.64335,11024.16236,5512.081181,5.16E-16,-1.200000014,2756.04059,8268.121771,5512.081181,24.377378,0.030430514,0.095270655,135.9991776,10.873837,468.03555,169.16806,0.3132491,2273.258898,2062.887782,4225.477013,0.019669782,0.21932344,0.18334426,Female
